All 1599 models by parameter count:
vit_so400m_patch14_siglip_gap_448.pali_pt          | Total: 413.3M | Trainable: 413.3M
vit_so400m_patch14_siglip_gap_448.pali_refcoco_seg | Total: 413.3M | Trainable: 413.3M
vit_so400m_patch16_siglip_gap_384.v2_webli         | Total: 413.0M | Trainable: 413.0M
vit_so400m_patch14_siglip_gap_378.v2_webli         | Total: 413.0M | Trainable: 413.0M
vit_so400m_patch14_siglip_gap_378.webli            | Total: 413.0M | Trainable: 413.0M
vit_so400m_patch14_siglip_gap_384.webli            | Total: 413.0M | Trainable: 413.0M
vit_so400m_patch16_siglip_gap_256.v2_webli         | Total: 412.6M | Trainable: 412.6M
vit_so400m_patch16_siglip_gap_256.webli_i18n       | Total: 412.6M | Trainable: 412.6M
vit_so400m_patch14_siglip_gap_224.pali2_3b_pt      | Total: 412.4M | Trainable: 412.4M
vit_so400m_patch14_siglip_gap_224.pali2_10b_pt     | Total: 412.4M | Trainable: 412.4M
vit_so400m_patch14_siglip_gap_224.pali_mix         | Total: 412.4M | Trainable: 412.4M
vit_so400m_patch14_siglip_gap_224.pali_pt          | Total: 412.4M | Trainable: 412.4M
vit_so400m_patch14_siglip_gap_224.v2_webli         | Total: 412.4M | Trainable: 412.4M
vit_so400m_patch14_siglip_gap_224.webli            | Total: 412.4M | Trainable: 412.4M
focalnet_xlarge_fl4.ms_in22k                       | Total: 409.0M | Trainable: 409.0M
focalnet_xlarge_fl3.ms_in22k                       | Total: 408.8M | Trainable: 408.8M
convnext_xlarge.fb_in22k                           | Total: 392.9M | Trainable: 392.9M
resnetv2_101x3_bit.goog_in21k_ft_in1k              | Total: 387.9M | Trainable: 387.9M
dm_nfnet_f5.dm_in1k                                | Total: 377.2M | Trainable: 377.2M
resnet50x64_clip_gap.openai                        | Total: 365.0M | Trainable: 365.0M
davit_huge_fl.msft_florence2                       | Total: 360.6M | Trainable: 360.6M
cait_m48_448.fb_dist_in1k                          | Total: 356.5M | Trainable: 356.5M
vit_large_r50_s32_224.augreg_in21k                 | Total: 350.4M | Trainable: 350.4M
convnext_xlarge.fb_in22k_ft_in1k                   | Total: 350.2M | Trainable: 350.2M
convnext_xlarge.fb_in22k_ft_in1k_384               | Total: 350.2M | Trainable: 350.2M
resnetv2_50x3_bit.goog_in21k                       | Total: 345.4M | Trainable: 345.4M
vitamin_large2_384.datacomp1b_clip                 | Total: 334.0M | Trainable: 334.0M
vitamin_large2_336.datacomp1b_clip                 | Total: 333.8M | Trainable: 333.8M
vitamin_large_384.datacomp1b_clip                  | Total: 333.7M | Trainable: 333.7M
vitamin_large2_256.datacomp1b_clip                 | Total: 333.6M | Trainable: 333.6M
vitamin_large2_224.datacomp1b_clip                 | Total: 333.6M | Trainable: 333.6M
vitamin_large_336.datacomp1b_clip                  | Total: 333.6M | Trainable: 333.6M
vitamin_large_256.datacomp1b_clip                  | Total: 333.4M | Trainable: 333.4M
vitamin_large_224.datacomp1b_clip                  | Total: 333.3M | Trainable: 333.3M
vit_large_r50_s32_384.augreg_in21k_ft_in1k         | Total: 329.1M | Trainable: 329.1M
